ix,iy,layer,mpv
-3,-3,0,1
-3,-3,1,1
-3,-3,2,1
-3,-3,3,1
-3,-3,4,1
-3,-2,0,1
-3,-2,1,1
-3,-2,2,1
-3,-2,3,1
-3,-2,4,1
-3,-1,0,1
-3,-1,1,1
-3,-1,2,1
-3,-1,3,1
-3,-1,4,1
-3,0,0,1
-3,0,1,1
-3,0,2,1
-3,0,3,1
-3,0,4,1
-3,1,0,1
-3,1,1,1
-3,1,2,1
-3,1,3,1
-3,1,4,1
-3,2,0,1
-3,2,1,1
-3,2,2,1
-3,2,3,1
-3,2,4,1
-3,3,0,1
-3,3,1,1
-3,3,2,1
-3,3,3,1
-3,3,4,1
-2,-3,0,1
-2,-3,1,1
-2,-3,2,1
-2,-3,3,1
-2,-3,4,1
-2,-2,0,1
-2,-2,1,1
-2,-2,2,1
-2,-2,3,1
-2,-2,4,1
-2,-1,0,1
-2,-1,1,1
-2,-1,2,1
-2,-1,3,1
-2,-1,4,1
-2,0,0,1
-2,0,1,1
-2,0,2,1.7045913934707642
-2,0,3,1
-2,0,4,1
-2,1,0,1
-2,1,1,1
-2,1,2,1
-2,1,3,1
-2,1,4,1
-2,2,0,1
-2,2,1,1
-2,2,2,1
-2,2,3,1
-2,2,4,1
-2,3,0,1
-2,3,1,1
-2,3,2,1
-2,3,3,1
-2,3,4,1
-1,-3,0,1
-1,-3,1,1
-1,-3,2,1
-1,-3,3,1
-1,-3,4,1
-1,-2,0,1
-1,-2,1,1
-1,-2,2,1
-1,-2,3,1
-1,-2,4,1
-1,-1,0,1
-1,-1,1,1.8543511629104614
-1,-1,2,1.2965089082717896
-1,-1,3,1.399294137954712
-1,-1,4,1
-1,0,0,1
-1,0,1,1.2082878351211548
-1,0,2,1.1518645286560059
-1,0,3,1.4423190355300903
-1,0,4,1.706058144569397
-1,1,0,1
-1,1,1,1.927096962928772
-1,1,2,1.785900592803955
-1,1,3,1.6952836513519287
-1,1,4,1
-1,2,0,1
-1,2,1,1
-1,2,2,1
-1,2,3,1
-1,2,4,1
-1,3,0,1
-1,3,1,1
-1,3,2,1
-1,3,3,1
-1,3,4,1
0,-3,0,1
0,-3,1,1
0,-3,2,1
0,-3,3,1
0,-3,4,1
0,-2,0,1
0,-2,1,1
0,-2,2,1
0,-2,3,1
0,-2,4,1
0,-1,0,1
0,-1,1,1
0,-1,2,1
0,-1,3,1.5056610107421875
0,-1,4,1.3266897201538086
0,0,0,1.1067923307418823
0,0,1,0.8334344029426575
0,0,2,0.8986101746559143
0,0,3,1.167225956916809
0,0,4,1.3052501678466797
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1.411231517791748
0,2,0,1
0,2,1,1
0,2,2,1
0,2,3,1
0,2,4,1
0,3,0,1
0,3,1,1
0,3,2,1
0,3,3,1
0,3,4,1
1,-3,0,1
1,-3,1,1
1,-3,2,1
1,-3,3,1
1,-3,4,1
1,-2,0,1
1,-2,1,1
1,-2,2,1
1,-2,3,1
1,-2,4,1
1,-1,0,1
1,-1,1,1.9598217010498047
1,-1,2,1.7844711542129517
1,-1,3,1.788275957107544
1,-1,4,1
1,0,0,1
1,0,1,1
1,0,2,1.7136731147766113
1,0,3,1.6049792766571045
1,0,4,1.6389379501342773
1,1,0,1
1,1,1,1.8041664361953735
1,1,2,1
1,1,3,1.8311806917190552
1,1,4,1
1,2,0,1
1,2,1,1
1,2,2,1
1,2,3,1
1,2,4,1
1,3,0,1
1,3,1,1
1,3,2,1
1,3,3,1
1,3,4,1
2,-3,0,1
2,-3,1,1
2,-3,2,1
2,-3,3,1
2,-3,4,1
2,-2,0,1
2,-2,1,1
2,-2,2,1
2,-2,3,1
2,-2,4,1
2,-1,0,1
2,-1,1,1
2,-1,2,1
2,-1,3,1
2,-1,4,1
2,0,0,1
2,0,1,1
2,0,2,1
2,0,3,1
2,0,4,1
2,1,0,1
2,1,1,1
2,1,2,1
2,1,3,1
2,1,4,1
2,2,0,1
2,2,1,1
2,2,2,1
2,2,3,1
2,2,4,1
2,3,0,1
2,3,1,1
2,3,2,1
2,3,3,1
2,3,4,1
3,-3,0,1
3,-3,1,1
3,-3,2,1
3,-3,3,1
3,-3,4,1
3,-2,0,1
3,-2,1,1
3,-2,2,1
3,-2,3,1
3,-2,4,1
3,-1,0,1
3,-1,1,1
3,-1,2,1
3,-1,3,1
3,-1,4,1
3,0,0,1
3,0,1,1
3,0,2,1
3,0,3,1
3,0,4,1
3,1,0,1
3,1,1,1
3,1,2,1
3,1,3,1
3,1,4,1
3,2,0,1
3,2,1,1
3,2,2,1
3,2,3,1
3,2,4,1
3,3,0,1
3,3,1,1
3,3,2,1
3,3,3,1
3,3,4,1
